"No","Kode Saham","Nama Perusahaan","Remarks","Sebelumnya","Open Price","Tanggal Perdagangan Terakhir","First Trade","Tertinggi","Terendah","Penutupan","Selisih","Volume","Nilai","Frekuensi","Index Individual","Offer","Offer Volume","Bid","Bid Volume","Listed Shares","Tradeble Shares","Weight For Index","Foreign Sell","Foreign Buy","Non Regular Volume","Non Regular Value","Non Regular Frequency"
"750","SCPI","Organon Pharma Indonesia Tbk.","--U-4130000000F211-----------X","29000","0","26 Apr 2024","0","0","0","29000","0","0","0","0","227.5","0","0","0","0","3600000","3600000","5400","0","0","0","0","0"
"751","SDMU","Sidomulyo Selaras Tbk.","--U-4100000000K211-----------X","14","0","26 Apr 2024","0","15","15","15","1","513600","7704000","20","8.3","0","0","15","4423600","1135225000","1135225000","460447260","0","0","0","0","0"
"752","SDPC","Millennium Pharmacon International Tbk.","--U-1130000000D111------------","141","0","26 Apr 2024","0","144","139","140","-1","713700","100167500","117","93.5","141","200","140","200","1274000000","1274000000","210464800","0","0","0","0","0"
"753","SDRA","Bank Woori Saudara Indonesia 1906 Tbk.","XRU-1105000000G111------------","530","0","26 Apr 2024","0","560","525","525","-5","108300","57071500","44","623.2","530","48400","525","466500","8482552020","8482552020","1326260406","0","0","0","0","0"
"754","SEMA","Semacom Integrated Tbk.","--S-2130000000A211------------","121","0","26 Apr 2024","0","122","119","121","0","720500","87144900","50","67.2","122","11700","119","45800","1347258842","1347258842","347323329","25200","24700","0","0","0"
"755","SFAN","Surya Fajar Capital Tbk.","--U-2105000000G511------------","1800","0","26 Apr 2024","0","1810","1800","1800","0","155500","280212500","48","957.4","1810","600","1795","13200","1359934021","1359934021","391117024","28300","28300","0","0","0"
"756","SGER","Sumber Global Energy Tbk.","--U-2135000000A122------------","1995","0","26 Apr 2024","0","2000","1965","1970","-25","2064300","4102654000","391","4294.7","1980","69100","1970","150100","4364335706","4364335706","1622660015","396700","93200","0","0","0"
"757","SGRO","Sampoerna Agro Tbk.","--U-1135000000D232------------","1980","0","26 Apr 2024","0","2020","1960","1970","-10","168800","334618500","154","84.2","1970","300","1965","1000","1818622000","1818622000","551042466","144000","69600","0","0","0"
"758","SHID","Hotel Sahid Jaya International Tbk.","--U-2135000000E512------------","1145","0","26 Apr 2024","0","1145","1110","1110","-35","32300","36266500","99","51.6","1115","100","1110","400","1119326168","1119326168","160847170","0","0","0","0","0"
"759","SHIP","Sillo Maritime Perdana Tbk.","--U-1105000000A112------------","1010","0","26 Apr 2024","0","1005","1005","1005","-5","4800","4824000","8","717.9","1005","3000","1000","100","2719790000","2500000000","497993549","0","0","0","0","0"
"760","SICO","Sigma Energy Compressindo Tbk.","XDU-2130000000A132------------","98","0","26 Apr 2024","0","99","97","98","0","398300","38995600","61","42.6","98","115900","97","505300","910049078","910049078","276290757","0","0","0","0","0"
"761","SIDO","Industri Jamu dan Farmasi Sido Muncul Tbk.","--SO1H3EMDN000F211------------","725","730","26 Apr 2024","730","745","690","705","-20","73061200","52048041500","5680","243.9","705","1114700","700","30100","30000000000","30000000000","6720000000","15303700","47511800","31","22785","1"
"762","SILO","Siloam International Hospitals Tbk.","--M-18AC106000F121------------","2550","0","26 Apr 2024","0","2580","2240","2290","-260","11810500","28051493000","2755","208.3","2300","13500","2290","233600","13006125000","13006125000","2022452438","3453300","6949100","0","0","0"
"763","SIMA","Siwani Makmur Tbk","--U-4100000000B131-E-L---Y---X","50","0","26 Apr 2024","0","0","0","50","0","0","0","0","6.4","0","0","0","0","442589871","442589871","363012212","0","0","0","0","0"
"764","SIMP","Salim Ivomas Pratama Tbk.","--M-1135000000D232------------","364","0","26 Apr 2024","0","366","360","362","-2","1220500","441555800","171","32.9","362","132900","360","63700","15816310000","15816310000","2848517431","372400","631200","0","0","0"
"765","SINI","Singaraja Putra Tbk.","--U-4100000000C121-E-L-------X","850","0","26 Apr 2024","0","850","850","850","0","700","595000","3","787","850","9100","0","0","481000000","481000000","128811800","0","0","0","0","0"
"766","SIPD","Sreeya Sewu Indonesia Tbk.","--U-2135000000D231------------","765","0","26 Apr 2024","0","775","775","775","10","100","77500","1","0.9","830","100","780","100","1839102056","1839102056","167358287","0","0","0","0","0"
"767","SKBM","Sekar Bumi Tbk.","--U-4130000000D222-----------X","290","0","26 Apr 2024","0","290","290","290","0","1000","290000","4","252.2","286","300","268","100","1730103217","1730103217","344117530","0","0","0","0","0"
"768","SKLT","Sekar Laut Tbk.","--U-4135000000D222-----------X","140","0","26 Apr 2024","0","138","138","138","-2","1200","165600","4","115.3","138","3300","126","100","6907405000","6907405000","1413255063","0","0","0","0","0"
"769","SKRN","Superkrane Mitra Utama Tbk.","--M-2135000000C141------------","320","0","26 Apr 2024","0","324","302","302","-18","361000","113068600","127","215.7","310","47200","302","126600","7500000000","7494000000","1118250000","6600","52400","0","0","0"
"770","SKYB","Northcliff Citranusa Indonesia Tbk.","--U-4100000000I131---L---Y---X","51","0","26 Apr 2024","0","0","0","51","0","0","0","0","13.6","0","0","0","0","585000000","585000000","229612500","0","0","0","0","0"
"771","SLIS","Gaya Abadi Sempurna Tbk.","--U-2130000000E742------------","60","0","26 Apr 2024","0","61","56","57","-3","17314600","1000112800","917","49.9","58","1762200","57","4473500","2463335427","2463335427","1158260242","0","285000","0","0","0"
"772","SMAR","Smart Tbk.","--U-2135000000D232------------","3820","0","26 Apr 2024","0","3820","3720","3800","-20","10500","39401000","25","1255.5","3810","900","3730","500","2872193366","2872193366","216850599","600","900","0","0","0"
"773","SMBR","Semen Baturaja Tbk.","--M-1135050000B121------------","236","0","26 Apr 2024","0","238","230","232","-4","1812500","421339600","291","41.4","232","1700","230","679200","9932534336","9932534336","1648800700","57300","50000","0","0","0"
"774","SMCB","Solusi Bangun Indonesia Tbk.","--U-4135000000B121-----------X","1295","0","26 Apr 2024","0","1295","1295","1295","0","100","129500","1","1564","1305","10300","1285","8700","9019381973","9019381973","100115140","0","0","0","0","0"
"775","SMDM","Suryamas Dutamakmur Tbk.","--U-2130000000H111------------","174","0","26 Apr 2024","0","175","169","170","-4","132600","22560900","30","21.5","170","17900","169","50600","4772138237","4772138237","381771059","0","7700","0","0","0"
"776","SMDR","Samudera Indonesia  Tbk.","--S-117F001000K211------------","298","0","26 Apr 2024","0","302","290","290","-8","15564900","4563772800","2864","5818.6","290","738800","288","589200","16375600000","16375600000","4056236120","777600","1057600","0","0","0"
"777","SMGA","Sumber Mineral Global Abadi Tbk.","--U-2130000000B146------------","82","0","26 Apr 2024","0","82","77","79","-3","35301000","2810374400","1297","75.2","79","1011500","78","1154800","8750000000","8750000000","1750000000","2638600","144300","0","0","0"
"778","SMGR","Semen Indonesia (Persero) Tbk.","--SO1XNXX56000B121------------","4800","4800","26 Apr 2024","4810","4820","4580","4580","-220","22366700","104337833000","8720","1599.6","4580","1239900","4570","372300","6751540089","6751540089","3292726101","10496300","9062600","184","868940","4"
"779","SMIL","Sarana Mitra Luas Tbk.","--U-1830530000C141------------","129","0","26 Apr 2024","0","132","125","128","-1","197527500","25120700900","2282","128","128","199600","127","194900","8750029965","8750029965","1750005059","2747500","2447900","0","0","0"
"780","SMKL","Satyamitra Kemas Lestari Tbk.","--M-1130000000B131------------","192","0","26 Apr 2024","0","193","190","192","0","132400","25281400","42","99.5","192","8400","189","252100","3418085290","3418085290","526043326","0","90000","0","0","0"
"781","SMKM","Sumber Mas Konstruksi Tbk.","--U-3000000000J211------------","48","0","26 Apr 2024","0","49","48","49","1","368000","17665200","22","18.6","49","1735700","48","534400","1253000000","1253000000","0","0","0","0","0","0"
"782","SMLE","Sinergi Multi Lestarindo Tbk.","--U-2130000000B111------------","138","0","26 Apr 2024","0","150","127","129","-9","92124400","12739031900","3333","73.7","130","22100","128","91500","2328125000","465625000","404860938","11638900","1779100","0","0","0"
"783","SMMA","Sinarmas Multiartha Tbk.","--U-1100000000G511------------","14600","0","26 Apr 2024","0","14600","13375","14600","0","300","4255000","3","1088.4","15600","100","13775","1400","6367664717","6367664717","2777575350","100","100","11496879","106136235555","132"
"784","SMMT","Golden Eagle Energy Tbk.","--U-1135000000A121------------","770","0","26 Apr 2024","0","770","750","750","-20","20500","15620500","41","1754.6","765","500","750","12700","3150000000","3150000000","55755000","12500","0","0","0","0"
"785","SMRA","Summarecon Agung Tbk.","--S-183FM63000H111------------","505","0","26 Apr 2024","0","515","500","500","-5","44146100","22188449000","1333","848.2","505","2476800","500","527500","16508568358","16508568358","8797416078","8168000","2050800","15000000","7575000000","1"
"786","SMRU","SMR Utama Tbk.","--U-4100000000A132-----------X","50","0","26 Apr 2024","0","0","0","50","0","0","0","0","12.2","0","0","0","0","12499385782","12499385782","4948506831","0","0","0","0","0"
"787","SMSM","Selamat Sempurna Tbk.","--S-183540G000E111------------","1885","0","26 Apr 2024","0","1890","1800","1800","-85","1740000","3183632000","1148","4807.8","1820","100","1800","20500","5758675440","5758675440","2363360401","949100","2600","0","0","0"
"788","SNLK","Sunter Lakeside Hotel Tbk.","--U-2130000000E512------------","545","0","26 Apr 2024","0","545","525","535","-10","2450000","1316076000","404","356.7","535","64400","530","2700","450000000","450000000","181575000","2300","14500","0","0","0"
"789","SOCI","Soechi Lines Tbk.","--M-1135000000A112------------","164","0","26 Apr 2024","0","165","161","165","1","1006700","165302800","189","30","165","77400","164","244900","7059000000","7059000000","1143558000","0","0","0","0","0"
"790","SOFA","Boston Furniture Industries Tbk.","--U-3000000000E211------------","16","0","26 Apr 2024","0","16","15","15","-1","4300","65100","7","15","16","931400","15","411700","1653574499","1653574499","0","0","0","0","0","0"
"791","SOHO","Soho Global Health Tbk.","--U-4135000000F211-----------X","492","0","26 Apr 2024","0","494","494","494","2","500","247000","1","271.4","505","600","494","2600","12691682390","12691682390","1143520583","0","0","0","0","0"
"792","SONA","Sona Topas Tourism Industry Tbk.","--U-4130000000E731-----------X","1960","0","26 Apr 2024","0","1765","1765","1765","-195","200","353000","2","342.3","1765","195100","0","0","662400000","662400000","51004800","0","0","0","0","0"
"793","SOSS","Shield On Service Tbk.","--U-2130000000C231------------","462","0","26 Apr 2024","0","0","0","462","0","0","0","0","167.4","460","700","450","100","799414231","799414231","25261490","0","0","0","0","0"
"794","SOTS","Satria Mega Kencana Tbk.","--U-2130000000E512------------","186","0","26 Apr 2024","0","196","181","188","2","39900","7382700","23","113.9","187","2900","181","6900","1000003979","1000003979","256501021","4100","0","0","0","0"
"795","SOUL","Mitra Tirta Buwana Tbk.","--U-3000000000D212------------","19","0","26 Apr 2024","0","20","19","20","1","488700","9732400","82","18.2","20","531300","19","2051700","1082524867","1082524867","0","0","0","0","0","0"
"796","SPMA","Suparma Tbk.","--U-1135000000B131------------","326","0","26 Apr 2024","0","330","318","322","-4","109400","35316200","34","215","322","2600","320","10300","3154092216","3154092216","236872325","29800","10700","0","0","0"
"797","SPTO","Surya Pertiwi Tbk.","--U-1135000000C121------------","545","0","26 Apr 2024","0","550","540","545","0","515500","281578500","136","47","545","589900","540","68800","2700000000","2700000000","931230000","243300","9700","0","0","0"
"798","SQMI","Wilton Makmur Indonesia Tbk.","--U-2130000000B143---L--------","50","0","26 Apr 2024","0","50","50","50","0","2147600","107380000","23","28.4","50","1521000","0","0","15537591429","15537591429","3143254746","0","0","0","0","0"
